product_id,product_no,product_owner,keyword,rank_product_position,rank_top1_product_position,rank_top1_product_id,is_ydt_product,is_window_product,is_p4p_keyword,is_selection_prodcut,keyword_company_count,keyword_window_products_count,keyword_pv_rank
60394014043,JDHB15072,Amy Wei,crocodile handbag,1.22,1.08,60494188031,FALSE,FALSE,FALSE,TRUE,200,7,300
60394014043,JDHB15072,Amy Wei,tote handbag,,1.15,60456203949,FALSE,FALSE,FALSE,FALSE,570,22,150
60394014043,JDHB15072,Amy Wei,high fashion handbag,,1.2,60374186858,FALSE,FALSE,,FALSE,,,
60394849093,JDHB15063,Amy Wei,lady shoulder bag,,1.34,60393489661,FALSE,FALSE,,FALSE,,,
60394849093,JDHB15063,Amy Wei,shoulder long strip bag,1.13,1.13,60394849093,FALSE,FALSE,FALSE,FALSE,507,8,390
60394849093,JDHB15063,Amy Wei,pu shoulder bag,,1.25,60435288594,FALSE,FALSE,FALSE,FALSE,423,10,42
60402067226,JDHB15045,Amy Wei,designer hand bag,1.32,1.32,60402067226,FALSE,FALSE,FALSE,FALSE,348,11,100
60402067226,JDHB15045,Amy Wei,hand carry bag,1.16,1.16,60402067226,FALSE,FALSE,FALSE,FALSE,342,7,80
60402067226,JDHB15045,Amy Wei,hand bag for lady,,1.2,60399653545,FALSE,FALSE,,FALSE,,,
60389471164,JDHB15023,Amy Wei,pu leather bag,,1.26,60383508403,FALSE,FALSE,FALSE,FALSE,600,28,100
60389471164,JDHB15023,Amy Wei,patch leather bag,1.06,1.06,60389471164,FALSE,FALSE,FALSE,TRUE,57,3,48
60389471164,JDHB15023,Amy Wei,fashion leather bag,,1.31,60392040439,FALSE,FALSE,FALSE,FALSE,482,16,29
60385962153,JDHB15064,Amy Wei,vintage bag,1.43,1.43,60385962153,TRUE,FALSE,FALSE,FALSE,532,12,180
60385962153,JDHB15064,Amy Wei,vintage leather bag,1.33,1.33,60385962153,TRUE,FALSE,FALSE,FALSE,235,6,60
60385962153,JDHB15064,Amy Wei,leather bag vintage,,2.19,60377182350,TRUE,FALSE,,FALSE,,,
60396371899,JDHB15070,Amy Wei,pu bag,,1.16,60401583274,FALSE,FALSE,FALSE,FALSE,668,46,300
60396371899,JDHB15070,Amy Wei,cheap ladies bag,,1.24,60443003858,FALSE,FALSE,,FALSE,,,
60396371899,JDHB15070,Amy Wei,pu ladies bag,,1.12,60401583274,FALSE,FALSE,,FALSE,,,
60398825534,JDHB15074,Amy Wei,shoulder bag handbag,,1.12,60456203949,FALSE,FALSE,FALSE,FALSE,290,9,13
60398825534,JDHB15074,Amy Wei,fashion shoulder bag,,1.39,60450516205,FALSE,FALSE,FALSE,FALSE,1054,31,17
60398825534,JDHB15074,Amy Wei,long handle shoulder bag,19.02,2.33,60406222489,FALSE,FALSE,,FALSE,,,
60404513201,JDHB15042,Amy Wei,linen tote bag,9.23,9.23,60404513201,FALSE,FALSE,FALSE,FALSE,199,1,100
60404513201,JDHB15042,Amy Wei,totes handbags,,1.15,60456203949,FALSE,FALSE,,FALSE,,,
